amount,customerAvgAmount,transactionsLast10Min,transactionsLast24Hours,failedAttempts,accountAge,isNewDevice,isNewIp,previousFraudCount,paymentMethod,currency,isFraud,transactionId,customerId
40.81,40.35,0,6,0,174,0,0,0,CARD,USD,0,TXN_101595,CUS_2513
46.51,35.02,0,1,0,809,0,0,0,NET_BANKING,USD,0,TXN_107418,CUS_6828
118.3,109.73,1,2,0,94,0,0,0,UPI,INR,0,TXN_101576,CUS_2412
77.06,91.39,1,3,0,263,1,0,0,CARD,INR,0,TXN_106437,CUS_3366
50.73,75.42,0,4,0,364,0,0,0,UPI,USD,0,TXN_108043,CUS_6841
384.91,557.52,0,0,0,298,0,0,0,CARD,INR,0,TXN_112872,CUS_1094
188.63,142.21,0,1,0,363,0,0,0,UPI,INR,0,TXN_110967,CUS_9763
288.83,279.58,0,3,0,1074,0,0,0,CARD,USD,0,TXN_103611,CUS_5640
84.19,139.9,0,1,0,816,1,1,0,CARD,USD,0,TXN_112119,CUS_6986
76.21,89.32,2,4,0,84,1,0,0,UPI,INR,0,TXN_108230,CUS_8654
70.35,58.92,0,4,0,275,0,0,0,UPI,INR,0,TXN_111885,CUS_8903
73.97,65.96,0,5,2,214,0,0,0,CARD,USD,0,TXN_113837,CUS_9569
193.76,146.21,2,6,0,413,0,1,0,CARD,INR,0,TXN_109116,CUS_2034
98.64,112.14,1,3,1,225,0,0,0,CARD,USD,0,TXN_109964,CUS_6682
282.39,227.09,1,2,0,54,0,0,0,CARD,INR,0,TXN_105551,CUS_8888
112.51,162.77,0,5,0,54,0,0,0,CARD,INR,0,TXN_106851,CUS_1271
408.77,322.3,0,1,1,206,0,0,0,CARD,INR,0,TXN_112473,CUS_8380
166.42,91.25,0,3,0,262,0,1,0,NET_BANKING,INR,0,TXN_107513,CUS_1725
44.12,49.97,1,3,0,141,0,0,0,CARD,USD,0,TXN_110806,CUS_3771
146.87,141.42,0,2,0,153,1,1,0,CARD,USD,0,TXN_105195,CUS_5442
196.11,302.98,1,3,0,42,1,1,0,NET_BANKING,USD,0,TXN_111293,CUS_8853
39.69,48.67,0,2,0,415,0,0,0,CARD,INR,0,TXN_114674,CUS_2348
125.0,102.31,1,7,0,379,0,0,0,UPI,INR,0,TXN_103885,CUS_2287
249.91,147.78,2,3,0,198,1,0,0,CARD,INR,0,TXN_103266,CUS_4961
94.42,131.68,0,7,0,165,1,0,0,CARD,EUR,0,TXN_101304,CUS_5527
671.28,644.44,0,2,0,1458,0,0,0,UPI,USD,0,TXN_111618,CUS_6089
74.55,99.12,0,1,1,209,0,0,0,CARD,INR,0,TXN_106276,CUS_1278
65.06,69.63,0,1,1,217,0,0,0,UPI,INR,0,TXN_113950,CUS_8128
204.23,129.49,1,6,0,327,0,0,0,CARD,EUR,0,TXN_114413,CUS_8111
85.17,71.36,0,2,0,262,0,0,0,CARD,INR,0,TXN_103225,CUS_1415
144.58,125.75,0,1,0,301,0,0,0,CARD,USD,0,TXN_107402,CUS_5146
58.09,49.82,0,1,0,61,0,0,0,CARD,INR,0,TXN_112999,CUS_9057
127.42,100.15,0,1,0,199,0,0,0,UPI,INR,0,TXN_105676,CUS_7868
101.46,103.07,0,1,0,81,0,0,0,CARD,INR,0,TXN_112362,CUS_6184
156.93,143.9,0,2,0,77,0,0,0,CARD,INR,0,TXN_108384,CUS_6434
28.06,29.53,0,2,0,868,0,1,0,NET_BANKING,USD,0,TXN_113039,CUS_9258
61.42,43.11,0,2,1,228,0,0,0,CARD,INR,0,TXN_108797,CUS_4855
52.55,57.5,0,3,0,427,0,0,0,NET_BANKING,INR,0,TXN_111908,CUS_4955
88.0,170.85,0,6,0,297,0,0,0,CARD,USD,0,TXN_104054,CUS_4045
121.64,103.8,0,2,0,777,1,0,0,NET_BANKING,INR,0,TXN_101710,CUS_2124
35.28,24.42,0,1,0,85,0,0,0,CARD,INR,0,TXN_104533,CUS_6939
42.5,62.47,0,4,1,540,0,0,0,NET_BANKING,INR,0,TXN_109595,CUS_9365
100.93,120.35,1,2,0,58,0,0,0,NET_BANKING,EUR,0,TXN_101903,CUS_4601
39.95,35.84,1,3,2,704,1,0,0,CARD,EUR,0,TXN_101636,CUS_7132
101.71,122.97,0,2,1,724,0,0,0,UPI,USD,0,TXN_100299,CUS_3619
141.13,105.82,0,1,0,99,0,0,0,CARD,USD,0,TXN_108906,CUS_1036
88.28,51.51,0,1,0,477,0,0,0,UPI,INR,0,TXN_114366,CUS_9339
35.36,52.52,0,6,0,242,0,0,0,WALLET,INR,0,TXN_101055,CUS_7403
68.0,61.27,0,4,0,254,0,0,0,CARD,EUR,0,TXN_107448,CUS_9782
46.07,58.22,0,0,0,729,0,0,0,UPI,INR,0,TXN_106645,CUS_8206
205.05,154.47,0,1,0,163,0,0,0,UPI,USD,0,TXN_101969,CUS_7605
66.97,57.29,0,3,0,185,0,0,0,UPI,EUR,0,TXN_108681,CUS_9253
76.37,98.26,0,6,0,507,0,0,0,CARD,USD,0,TXN_102460,CUS_2734
38.7,28.9,0,0,0,109,0,1,0,CARD,USD,0,TXN_111348,CUS_6076
19.76,24.05,0,2,0,955,0,0,0,UPI,INR,0,TXN_102081,CUS_2448
71.57,97.07,1,3,0,371,0,1,0,CARD,INR,0,TXN_113255,CUS_9716
109.46,136.99,0,1,0,131,0,0,0,CARD,INR,0,TXN_110162,CUS_5649
39.75,57.99,0,1,0,339,0,0,0,CARD,USD,0,TXN_113974,CUS_1150
280.51,354.23,0,1,0,31,0,0,0,UPI,USD,0,TXN_113028,CUS_3765
187.8,120.53,0,1,0,156,0,0,0,CARD,INR,0,TXN_100905,CUS_5948
47.72,46.99,0,3,0,57,0,0,0,NET_BANKING,USD,0,TXN_106776,CUS_4128
57.25,44.43,0,1,0,271,0,1,0,UPI,USD,0,TXN_100068,CUS_6935
260.04,222.83,2,4,0,133,0,0,0,CARD,INR,0,TXN_109900,CUS_2128
129.49,104.68,1,5,0,444,0,0,0,CARD,INR,0,TXN_110295,CUS_1341
13.16,24.27,0,4,0,181,0,0,0,CARD,USD,0,TXN_105603,CUS_2411
100.68,122.64,0,3,0,235,0,0,0,CARD,INR,0,TXN_107364,CUS_4761
45.01,35.21,1,4,0,210,0,1,0,CARD,INR,0,TXN_109907,CUS_8931
67.35,53.1,1,2,1,235,0,0,0,UPI,INR,0,TXN_106949,CUS_9759
26.41,125.37,0,1,0,85,0,0,0,UPI,USD,0,TXN_101586,CUS_8281
71.88,108.02,2,4,0,367,0,0,0,CARD,USD,0,TXN_104924,CUS_5977
79.31,139.71,1,2,0,208,0,0,0,UPI,INR,0,TXN_103519,CUS_5170
109.46,62.91,0,5,0,301,0,0,0,UPI,INR,0,TXN_114319,CUS_9357
37.91,127.74,0,4,0,49,0,0,0,UPI,INR,0,TXN_111239,CUS_4740
121.6,142.28,1,4,0,38,0,1,0,CARD,INR,0,TXN_104109,CUS_4335
5.0,41.8,0,2,0,179,0,0,0,UPI,INR,0,TXN_104602,CUS_2651
314.34,482.77,0,2,0,44,0,0,0,WALLET,INR,0,TXN_112393,CUS_5434
386.2,251.23,0,1,0,134,0,0,0,CARD,EUR,0,TXN_101681,CUS_1216
135.36,166.15,0,5,0,81,0,0,0,CARD,EUR,0,TXN_112419,CUS_5482
287.65,221.56,1,5,0,996,0,0,0,CARD,INR,0,TXN_113880,CUS_3398
175.56,141.15,1,2,0,269,1,0,0,CARD,USD,0,TXN_107136,CUS_2774
112.53,112.94,0,6,1,261,0,1,0,UPI,INR,0,TXN_113035,CUS_5770
191.91,179.97,0,2,0,679,0,0,0,NET_BANKING,USD,0,TXN_106648,CUS_5034
26.74,117.88,0,2,0,291,0,1,0,CARD,USD,0,TXN_101246,CUS_1684
160.6,240.02,1,3,0,786,0,0,0,CARD,USD,0,TXN_102683,CUS_7557
47.04,48.75,0,7,1,806,0,0,0,WALLET,INR,0,TXN_111577,CUS_6520
94.8,84.37,0,3,0,608,0,0,0,CARD,INR,0,TXN_102721,CUS_6182
26.67,63.33,0,4,0,110,0,0,0,CARD,USD,0,TXN_113012,CUS_9975
184.49,201.22,1,3,0,341,0,0,0,NET_BANKING,INR,0,TXN_103010,CUS_6261
66.49,90.37,0,2,0,484,0,0,0,CARD,INR,0,TXN_101697,CUS_2213
35.14,52.84,0,1,0,82,0,0,0,NET_BANKING,INR,0,TXN_105636,CUS_6630
171.94,219.21,0,0,0,82,0,1,0,CARD,INR,0,TXN_102762,CUS_9413
438.16,361.64,0,3,0,241,0,0,0,UPI,USD,0,TXN_109311,CUS_9891
65.96,71.85,0,1,1,350,0,0,0,CARD,EUR,0,TXN_113699,CUS_8961
112.62,135.01,1,1,0,75,0,0,0,CARD,USD,0,TXN_114876,CUS_9373
69.01,81.24,0,1,0,243,0,0,0,UPI,INR,0,TXN_108712,CUS_2344
453.11,402.88,0,2,0,774,0,0,0,UPI,INR,0,TXN_112257,CUS_4897
110.55,109.56,1,5,0,176,0,0,0,UPI,INR,0,TXN_110714,CUS_4674
95.6,73.05,0,2,0,132,0,0,0,CARD,INR,0,TXN_109133,CUS_4785
59.37,90.51,1,1,0,136,0,0,0,UPI,INR,0,TXN_105592,CUS_3433
150.71,168.41,0,2,0,798,0,0,0,CARD,INR,0,TXN_113378,CUS_1965
130.49,146.68,0,0,1,179,0,0,0,WALLET,INR,0,TXN_106439,CUS_6122
137.34,128.59,0,0,0,114,0,0,0,NET_BANKING,USD,0,TXN_113259,CUS_4860
155.55,101.81,0,1,0,190,0,0,0,CARD,INR,0,TXN_113327,CUS_5369
122.69,287.27,0,2,0,128,0,0,0,UPI,USD,0,TXN_111113,CUS_9298
146.8,158.05,0,4,0,188,0,0,0,UPI,INR,0,TXN_110050,CUS_8274
42.93,36.11,0,1,0,1457,0,0,0,UPI,EUR,0,TXN_104354,CUS_4295
147.67,150.52,0,1,0,71,0,0,0,CARD,EUR,0,TXN_102160,CUS_2985
156.93,167.17,0,2,0,476,0,0,0,NET_BANKING,INR,0,TXN_112831,CUS_1756
45.03,55.3,0,3,0,665,0,0,0,NET_BANKING,INR,0,TXN_101431,CUS_3827
97.75,64.86,0,2,0,66,0,0,0,UPI,INR,0,TXN_113011,CUS_1049
145.07,231.3,1,2,0,228,0,0,0,WALLET,INR,0,TXN_100928,CUS_2736
104.85,94.47,1,3,0,38,0,0,0,CARD,INR,0,TXN_110324,CUS_4686
77.39,155.02,0,1,0,400,0,0,0,WALLET,INR,0,TXN_101569,CUS_3520
55.58,58.71,0,2,1,157,0,0,0,NET_BANKING,USD,0,TXN_106418,CUS_5116
47.01,180.13,0,3,0,141,0,0,0,UPI,EUR,0,TXN_106531,CUS_7690
96.0,87.33,0,1,0,260,0,0,0,CARD,EUR,0,TXN_105065,CUS_2611
102.61,90.41,1,2,0,144,0,0,0,NET_BANKING,USD,0,TXN_112098,CUS_1983
37.94,53.63,1,5,0,103,0,0,0,CARD,INR,0,TXN_109438,CUS_4007
50.2,70.4,0,1,0,128,0,0,0,CARD,INR,0,TXN_103849,CUS_5824
136.72,269.57,0,3,0,50,0,0,0,UPI,INR,0,TXN_104647,CUS_2576
233.5,223.31,0,1,0,458,0,0,0,CARD,INR,0,TXN_108197,CUS_6111
75.54,75.57,0,4,0,501,0,0,0,UPI,EUR,0,TXN_107987,CUS_6287
97.21,113.31,0,2,0,134,0,1,0,CARD,INR,0,TXN_113754,CUS_6120
525.06,63.3,6,7,2,108,1,0,1,CARD,INR,1,TXN_114386,CUS_4299
137.4,141.8,1,4,1,82,0,1,0,UPI,INR,0,TXN_101538,CUS_5765
26.05,31.81,0,0,0,341,0,0,0,UPI,USD,0,TXN_101913,CUS_5629
63.33,38.03,0,2,0,148,0,0,0,NET_BANKING,INR,0,TXN_107069,CUS_3271
103.96,109.91,0,2,0,45,0,0,0,CARD,INR,0,TXN_102656,CUS_3313
51.14,62.71,0,0,0,370,0,0,0,CARD,EUR,0,TXN_110411,CUS_8581
49.0,61.3,0,2,0,712,0,0,0,CARD,USD,0,TXN_100210,CUS_6357
14.05,344.67,7,8,2,10,1,1,3,CARD,INR,1,TXN_102847,CUS_9184
130.1,235.55,0,5,0,194,0,0,0,CARD,USD,0,TXN_113441,CUS_2721
99.07,123.27,1,4,0,599,0,0,0,WALLET,INR,0,TXN_109868,CUS_9833
308.81,503.32,0,1,0,475,1,0,0,CARD,INR,0,TXN_112488,CUS_3418
64.94,60.0,1,1,0,144,0,0,0,UPI,INR,0,TXN_109880,CUS_3767
110.65,248.14,0,3,0,97,0,0,0,UPI,USD,0,TXN_109659,CUS_4373
37.52,58.0,0,3,0,190,0,0,0,CARD,INR,0,TXN_112183,CUS_7053
211.93,117.97,2,5,0,378,0,0,0,NET_BANKING,INR,0,TXN_110772,CUS_3887
286.69,208.51,0,1,0,274,0,0,0,CARD,INR,0,TXN_114247,CUS_9593
35.87,58.64,0,1,0,263,0,0,0,NET_BANKING,INR,0,TXN_101946,CUS_4416
165.24,228.0,0,0,0,521,0,1,0,NET_BANKING,EUR,0,TXN_114018,CUS_5268
90.81,86.38,2,6,0,231,0,0,0,CARD,INR,0,TXN_108591,CUS_9069
157.41,127.86,1,3,0,126,0,0,0,CARD,INR,0,TXN_100933,CUS_8192
53.63,97.17,0,0,0,344,0,0,0,CARD,USD,0,TXN_107944,CUS_6996
22.13,43.16,0,1,0,305,1,1,0,UPI,INR,0,TXN_108771,CUS_9817
42.77,44.09,2,3,0,351,1,0,0,NET_BANKING,EUR,0,TXN_114135,CUS_6179
80.85,58.63,0,2,0,68,0,1,0,WALLET,INR,0,TXN_107283,CUS_4899
59.7,93.31,0,4,0,110,0,0,0,NET_BANKING,INR,0,TXN_100626,CUS_2304
217.22,206.11,0,3,0,92,0,0,0,NET_BANKING,INR,0,TXN_106902,CUS_5550
58.51,126.99,1,4,0,110,0,1,0,CARD,USD,0,TXN_108656,CUS_7351
187.37,183.55,0,2,0,153,1,0,0,CARD,INR,0,TXN_101952,CUS_7750
103.28,226.92,2,6,0,81,0,0,0,UPI,USD,0,TXN_110063,CUS_7994
168.59,309.03,0,1,0,774,0,1,0,UPI,INR,0,TXN_102313,CUS_7559
81.13,103.88,0,4,1,227,0,0,0,CARD,INR,0,TXN_101718,CUS_5625
69.58,57.91,1,2,0,190,0,0,0,CARD,USD,0,TXN_111053,CUS_4024
97.26,85.58,0,3,0,82,0,0,0,NET_BANKING,INR,0,TXN_106915,CUS_7244
274.72,150.25,1,7,0,76,0,0,0,UPI,INR,0,TXN_101396,CUS_7727
7.52,46.98,0,4,0,555,0,0,0,CARD,USD,0,TXN_109584,CUS_6827
219.09,242.46,1,5,1,108,0,0,0,WALLET,INR,0,TXN_104614,CUS_3270
176.32,119.11,0,1,0,284,0,0,0,WALLET,EUR,0,TXN_112953,CUS_9747
71.15,72.95,0,3,0,366,0,0,0,CARD,USD,0,TXN_105444,CUS_2018
53.58,46.76,0,2,0,781,0,0,0,CARD,INR,0,TXN_106240,CUS_3033
37.73,62.08,0,1,0,287,0,0,0,UPI,INR,0,TXN_104253,CUS_3816
39.16,47.33,0,3,1,80,0,0,0,CARD,INR,0,TXN_109120,CUS_9752
38.37,61.93,0,0,0,133,0,0,0,NET_BANKING,USD,0,TXN_108808,CUS_3244
216.6,170.28,0,3,0,161,0,0,0,CARD,USD,0,TXN_114527,CUS_4473
168.49,101.47,1,2,0,63,1,1,0,CARD,INR,0,TXN_108658,CUS_7545
55.75,64.04,0,1,0,174,0,0,0,NET_BANKING,USD,0,TXN_106630,CUS_2287
88.69,86.22,1,2,0,569,0,0,0,CARD,INR,0,TXN_112600,CUS_8108
207.34,241.7,0,2,0,66,0,0,0,CARD,USD,0,TXN_106897,CUS_6064
46.04,49.65,0,1,0,30,0,0,0,CARD,INR,0,TXN_108245,CUS_2652
80.99,70.15,0,1,0,120,0,0,0,UPI,INR,0,TXN_101157,CUS_6283
418.76,92.8,4,8,4,15,1,1,1,NET_BANKING,USD,1,TXN_108275,CUS_2055
38.46,73.68,0,1,0,185,0,0,0,CARD,INR,0,TXN_101638,CUS_5022
89.08,87.39,0,3,0,369,0,0,0,CARD,INR,0,TXN_110845,CUS_9274
156.61,111.19,0,4,0,223,0,0,0,CARD,INR,0,TXN_102643,CUS_8592
66.98,58.5,0,3,0,233,0,1,0,CARD,USD,0,TXN_112983,CUS_5271
134.29,130.12,2,5,0,98,0,0,0,NET_BANKING,INR,0,TXN_107288,CUS_7307
35.72,86.59,0,4,1,184,0,1,0,CARD,INR,0,TXN_110116,CUS_4280
227.93,165.34,0,2,0,204,0,0,0,CARD,INR,0,TXN_107394,CUS_4212
174.34,148.61,0,2,0,68,0,0,0,CARD,INR,0,TXN_108441,CUS_3332
83.2,76.91,1,4,0,188,0,0,0,WALLET,INR,0,TXN_114040,CUS_9396
96.22,61.01,0,1,0,111,0,0,0,UPI,INR,0,TXN_105190,CUS_5661
62.84,81.96,1,1,0,136,0,0,0,WALLET,INR,0,TXN_113794,CUS_7620
181.15,280.92,0,1,0,755,0,0,0,CARD,USD,0,TXN_103345,CUS_8387
155.22,157.94,0,2,0,72,0,0,0,CARD,EUR,0,TXN_110307,CUS_4842
37.63,68.54,1,2,0,766,0,0,0,CARD,INR,0,TXN_106519,CUS_9202
97.06,115.11,0,1,0,254,0,0,0,CARD,USD,0,TXN_110261,CUS_1233
278.66,255.74,2,5,0,596,0,0,0,NET_BANKING,USD,0,TXN_101140,CUS_1665
123.68,132.14,0,3,0,43,0,0,0,CARD,USD,0,TXN_101601,CUS_4334
118.82,141.06,0,5,0,95,0,0,0,CARD,INR,0,TXN_103085,CUS_5276
28.45,35.98,0,0,0,220,0,0,0,UPI,INR,0,TXN_111693,CUS_4875
202.85,159.23,0,1,0,58,0,0,0,CARD,INR,0,TXN_102527,CUS_6075
38.92,31.83,1,3,0,430,1,0,0,NET_BANKING,INR,0,TXN_105369,CUS_3553
58.99,55.18,2,4,1,257,0,0,0,CARD,EUR,0,TXN_109845,CUS_3357
133.71,137.94,1,3,0,48,0,0,0,CARD,USD,0,TXN_100486,CUS_6126
178.28,566.96,0,2,0,134,1,0,0,CARD,EUR,0,TXN_104164,CUS_2832
120.91,100.39,1,2,0,191,0,0,0,CARD,INR,0,TXN_100631,CUS_7414
78.08,54.62,0,3,0,146,0,0,0,UPI,INR,0,TXN_114349,CUS_6878
98.77,71.39,0,1,0,1001,0,1,0,UPI,USD,0,TXN_104573,CUS_7840
172.78,140.53,0,7,0,380,0,0,0,NET_BANKING,USD,0,TXN_112974,CUS_6719
160.39,108.1,0,2,0,116,0,1,0,UPI,EUR,0,TXN_100674,CUS_3366
16.01,26.0,1,4,0,311,0,0,0,WALLET,INR,0,TXN_104486,CUS_5823
26.25,35.99,0,2,0,133,0,0,0,UPI,USD,0,TXN_102526,CUS_5613
180.22,143.7,0,1,0,275,0,0,0,NET_BANKING,USD,0,TXN_105296,CUS_9308
62.93,70.68,0,3,0,588,0,0,0,CARD,INR,0,TXN_111696,CUS_8374
188.44,22.15,7,10,3,93,0,1,1,CARD,EUR,1,TXN_112646,CUS_6304
39.74,42.3,0,2,1,408,1,0,0,CARD,INR,0,TXN_112508,CUS_8205
110.0,106.01,1,3,0,310,0,0,0,CARD,INR,0,TXN_113735,CUS_5660
846.93,608.51,0,2,1,168,0,0,0,UPI,INR,0,TXN_108587,CUS_6205
657.4,458.04,0,3,0,50,0,0,0,NET_BANKING,USD,0,TXN_108839,CUS_9407
145.97,323.22,0,1,2,367,0,0,0,UPI,INR,0,TXN_113622,CUS_3071
121.81,102.14,1,2,0,241,0,0,0,UPI,INR,0,TXN_109847,CUS_1789
143.07,170.88,0,2,0,75,0,0,0,NET_BANKING,INR,0,TXN_103359,CUS_9050
137.05,264.71,0,0,0,163,0,0,0,UPI,INR,0,TXN_100511,CUS_4310
174.84,144.87,1,1,0,220,0,0,0,CARD,EUR,0,TXN_110247,CUS_1331
168.82,124.64,0,2,0,143,0,1,0,UPI,EUR,0,TXN_100669,CUS_5293
66.61,58.2,0,2,0,322,0,0,0,CARD,INR,0,TXN_102294,CUS_7850
38.02,44.98,1,5,0,40,0,1,0,CARD,INR,0,TXN_106796,CUS_3898
83.2,68.39,1,3,0,126,0,0,0,CARD,INR,0,TXN_104113,CUS_7577
103.53,139.16,0,2,0,685,0,1,0,CARD,USD,0,TXN_102106,CUS_2822
119.75,87.88,0,3,0,161,0,0,0,CARD,INR,0,TXN_105978,CUS_1693
71.71,70.94,0,3,0,138,0,0,0,CARD,EUR,0,TXN_103952,CUS_7037
210.16,197.79,0,1,0,33,0,0,0,UPI,USD,0,TXN_101436,CUS_1464
108.78,116.31,1,2,0,54,0,0,0,CARD,USD,0,TXN_114538,CUS_1709
404.45,56.53,6,14,4,12,1,1,0,CARD,USD,1,TXN_107048,CUS_8671
28.5,28.03,0,3,0,355,0,0,0,UPI,INR,0,TXN_112894,CUS_4833
163.37,209.69,0,0,0,499,0,0,0,CARD,INR,0,TXN_107709,CUS_3529
2920.68,229.47,3,13,1,27,0,0,1,CARD,INR,1,TXN_101999,CUS_8529
117.07,83.85,1,1,0,186,0,0,0,UPI,INR,0,TXN_114790,CUS_8115
93.94,83.42,0,3,0,137,0,0,0,UPI,INR,0,TXN_103177,CUS_2198
152.06,131.77,0,0,1,66,0,1,0,NET_BANKING,INR,0,TXN_114524,CUS_9805
71.45,106.34,1,5,0,466,0,0,0,CARD,EUR,0,TXN_114423,CUS_8497
92.47,73.31,0,4,0,286,0,0,0,CARD,USD,0,TXN_110807,CUS_3867
1032.62,125.32,5,8,2,21,1,1,1,CARD,USD,1,TXN_102639,CUS_7332
146.81,124.36,2,5,0,149,0,0,0,UPI,USD,0,TXN_102698,CUS_2950
88.54,60.77,1,2,0,239,0,0,0,UPI,INR,0,TXN_112570,CUS_3962
116.08,97.39,1,2,0,92,0,1,0,UPI,USD,0,TXN_108645,CUS_8919
40.05,55.0,0,0,0,195,0,0,0,CARD,USD,0,TXN_107140,CUS_9898
187.19,149.83,0,1,0,366,0,0,0,CARD,INR,0,TXN_101316,CUS_8590
102.67,118.61,1,2,0,102,0,0,0,UPI,INR,0,TXN_103439,CUS_1853
70.26,81.78,1,5,0,199,0,0,0,UPI,USD,0,TXN_107912,CUS_3595
43.9,34.75,1,3,0,172,1,0,0,CARD,USD,0,TXN_109679,CUS_9395
138.26,120.95,0,4,0,90,0,0,0,CARD,INR,0,TXN_109109,CUS_5191
175.11,186.16,1,3,0,178,0,0,0,CARD,INR,0,TXN_113268,CUS_5512
208.08,185.2,0,3,0,35,0,0,0,CARD,INR,0,TXN_103514,CUS_2263
59.45,56.41,0,3,0,54,0,0,0,CARD,INR,0,TXN_106413,CUS_2897
30.7,41.01,0,2,1,169,1,0,0,CARD,INR,0,TXN_107697,CUS_1734
141.56,179.75,0,1,0,44,0,0,0,CARD,EUR,0,TXN_102412,CUS_1062
195.44,143.14,0,4,0,96,0,0,0,UPI,USD,0,TXN_107484,CUS_7673
69.83,72.89,0,3,0,89,0,0,0,UPI,USD,0,TXN_102917,CUS_3668
248.54,235.9,0,2,0,281,0,0,0,CARD,INR,0,TXN_106899,CUS_4757
157.31,122.48,1,3,0,295,0,0,0,CARD,EUR,0,TXN_109814,CUS_1665
137.8,186.57,1,4,0,593,0,0,0,UPI,INR,0,TXN_112283,CUS_2584
35.46,52.59,0,3,0,430,0,0,0,CARD,USD,0,TXN_100612,CUS_1014
43.8,25.59,2,2,0,1243,0,1,0,UPI,USD,0,TXN_111699,CUS_9348
89.8,97.02,2,5,0,86,0,0,0,UPI,USD,0,TXN_106257,CUS_7957
